4529|Retro Gamer|Earn all other trophies!|7236|12 Jul 2018 7:56:52 PM|3369|14114|23.87|Uncommon|Platinum
4529|Single Perfect|Without forming a Dual Fighter, get a Perfect Bonus on a certain Challenging Stage!|7235|12 Jul 2018 7:56:52 PM|3563|14114|25.24|Uncommon|Gold
4529|Stage 31 Perfect|Get a Perfect Bonus on the Stage 31 Challenging Stage!|7234|12 Jul 2018 7:26:09 PM|3386|14114|23.99|Uncommon|Gold
4529|Escape Artist|Escape from a Boss Galaga's tractor beam!|7233|12 Jul 2018 6:11:02 PM|5978|14114|42.36|Uncommon|Bronze
4529|Stage 27 Perfect|Get a Perfect Bonus on the Stage 27 Challenging Stage!|7232|12 Jul 2018 6:04:43 PM|3419|14114|24.22|Uncommon|Gold
4529|Ace Pilot|Get a 70% or higher hit rate on Stage 10 or above!|7231|12 Jul 2018 4:02:34 PM|4850|14114|34.36|Uncommon|Gold
4529|Stage 23 Perfect|Get a Perfect Bonus on the Stage 23 Challenging Stage!|7230|12 Jul 2018 3:43:40 PM|3439|14114|24.37|Uncommon|Gold
4529|Stage 19 Perfect|Get a Perfect Bonus on the Stage 19 Challenging Stage!|7229|11 Jul 2018 11:54:17 PM|3590|14114|25.44|Uncommon|Gold
4529|Stage 15 Perfect|Get a Perfect Bonus on the Stage 15 Challenging Stage!|7228|11 Jul 2018 11:39:28 PM|3865|14114|27.38|Uncommon|Gold
4529|Enemy Fighter|Shoot down a red captured Fighter!|7227|11 Jul 2018 11:34:21 PM|8373|14114|59.32|Common|Bronze
4529|Stage 11 Perfect|Get a Perfect Bonus on the Stage 11 Challenging Stage!|7226|11 Jul 2018 11:31:19 PM|3553|14114|25.17|Uncommon|Silver
4529|Blue Spaceship|Find the Blue Spaceship that appears in battle!|7225|11 Jul 2018 10:13:17 PM|4861|14114|34.44|Uncommon|Gold
4529|Stage 30 Reached|Reach Stage 30 and view the stage emblem!|7224|11 Jul 2018 10:11:10 PM|5001|14114|35.43|Uncommon|Silver
4529|Stage 20 Reached|Reach Stage 20 and view the stage emblem!|7223|11 Jul 2018 9:59:20 PM|5422|14114|38.42|Uncommon|Bronze
